company,fiscal_year,revenue,operating_income,net_income,cash,current_assets,current_liabilities,total_assets,total_debt,equity,operating_cash_flow,capex,interest_expense,depreciation_amortization,previous_revenue,revenue_growth,operating_margin,free_cash_flow,current_ratio,debt_to_equity,interest_coverage,ebitda,debt_to_ebitda,ocf_to_debt
Costco,2021,195929000000,6708000000,5007000000,11258000000,29505000000,29441000000,59268000000,7531000000.0,17564000000,8958000000,3588000000,171000000.0,1781000000,,,0.034236891935343926,5370000000,1.0021738392038313,0.42877476656797997,39.228070175438596,8489000000,0.8871480739780893,1.189483468330899
Costco,2022,226954000000,7793000000,5844000000,10203000000,32696000000,31998000000,64166000000,6590000000.0,20642000000,7392000000,3891000000,158000000.0,1900000000,195929000000,0.15834817714580282,0.03433735470624003,3501000000,1.0218138633664604,0.31925201046410234,49.322784810126585,9693000000,0.6798720726297328,1.121699544764795
Costco,2023,242290000000,8114000000,6292000000,13700000000,35879000000,33583000000,68994000000,6484000000.0,25058000000,11068000000,4323000000,160000000.0,2077000000,226954000000,0.06757316460604351,0.033488794419910026,6745000000,1.0683679242473871,0.25875967754808843,50.7125,10191000000,0.6362476695123148,1.7069710055521283
Costco,2024,254453000000,9285000000,7367000000,9906000000,34246000000,35464000000,69831000000,5919000000.0,23622000000,11339000000,4710000000,169000000.0,2237000000,242290000000,0.05020017334599034,0.036490039417888566,6629000000,0.965655312429506,0.2505715011430023,54.94082840236686,11522000000,0.5137128970664815,1.9156952187869574
Costco,2025,275235000000,10383000000,8099000000,14161000000,38380000000,37108000000,77099000000,5805000000.0,29164000000,13335000000,5498000000,154000000.0,2426000000,254453000000,0.08167323631476146,0.03772412665540356,7837000000,1.0342783227336423,0.1990467699903991,67.42207792207792,12809000000,0.4531969708798501,2.297157622739018
Home Depot,2022,151157000000,23040000000,16433000000,2343000000,29055000000,28693000000,71876000000,36400000000.0,-1696000000,16571000000,2566000000,1347000000.0,2386000000,,,0.15242430056166767,14005000000,1.012616317568745,-21.462264150943398,17.104677060133632,25426000000,1.43160544324707,0.45524725274725275
Home Depot,2023,157403000000,24039000000,17105000000,2757000000,32471000000,23110000000,76445000000,41150000000.0,1562000000,14615000000,3119000000,1617000000.0,2455000000,151157000000,0.041321275230389594,0.15272262917479337,11496000000,1.4050627434011251,26.344430217669654,14.866419294990724,26494000000,1.5531818524949046,0.3551640340218712
Home Depot,2024,152669000000,21689000000,15143000000,3760000000,29775000000,22015000000,76530000000,42150000000.0,1044000000,21172000000,3226000000,1943000000.0,2673000000,157403000000,-0.03007566564804991,0.1420655142825328,17946000000,1.3524869407222349,40.37356321839081,11.162635100360268,24362000000,1.7301535177735818,0.5023013048635825
Home Depot,2025,159514000000,21526000000,14806000000,1659000000,31683000000,28661000000,96119000000,51365000000.0,6640000000,19810000000,3485000000,2321000000.0,3034000000,152669000000,0.04483555928184504,0.13494740273581002,16325000000,1.1054394473326123,7.735692771084337,9.274450667815596,24560000000,2.091408794788274,0.3856711768714105
Home Depot,2026,164683000000,20890000000,14156000000,1389000000,34391000000,32424000000,105095000000,49397000000.0,12813000000,16325000000,3679000000,2412000000.0,3273000000,159514000000,0.03240467921310982,0.12684976591390731,12646000000,1.06066493955095,3.8552251619448996,8.660862354892206,24163000000,2.0443239663949013,0.3304856570237059
Lowe's,2022,96250000000,12093000000,8442000000,1133000000,20060000000,19668000000,44640000000,24285000000.0,-4816000000,10113000000,1853000000,827000000.0,1662000000,,,0.12564155844155844,8260000000,1.0199308521456172,-5.042566445182724,14.62273276904474,13755000000,1.7655398037077425,0.4164298949969117
Lowe's,2023,97059000000,10159000000,6437000000,1348000000,21442000000,19511000000,43708000000,33270000000.0,-14254000000,8589000000,1829000000,1108000000.0,1766000000,96250000000,0.008405194805194804,0.10466829454249477,6760000000,1.098969811900979,-2.3340816612880593,9.168772563176896,11925000000,2.789937106918239,0.2581605049594229
Lowe's,2024,86377000000,11557000000,7726000000,921000000,19071000000,15568000000,41795000000,35770000000.0,-15050000000,8140000000,1964000000,1438000000.0,1717000000,97059000000,-0.11005676959375225,0.1337971913819651,6176000000,1.225012846865365,-2.3767441860465115,8.036856745479833,13274000000,2.6947416001205364,0.2275649986021806
Lowe's,2025,83674000000,10466000000,6957000000,1761000000,20358000000,18757000000,43102000000,35319000000.0,-14231000000,9625000000,1927000000,1452000000.0,1729000000,86377000000,-0.031293052548710884,0.12508067022014008,7698000000,1.0853548008743403,-2.481835429695735,7.207988980716253,12195000000,2.8961869618696188,0.2725162094057023
Lowe's,2026,86286000000,10153000000,6654000000,982000000,20955000000,19463000000,54144000000,39819000000.0,-9917000000,9864000000,2213000000,1487000000.0,1941000000,83674000000,0.03121638740827497,0.11766682891778504,7651000000,1.0766582746750244,-4.015226378945245,6.827841291190316,12094000000,3.2924590706135275,0.2477209372410156
Target,2022,106005000000,8946000000,6946000000,5911000000,21573000000,21747000000,53811000000,11568000000.0,12827000000,8625000000,3544000000,421000000.0,2344000000,,,0.08439224564879015,5081000000,0.9919988963995033,0.9018476650814687,21.24940617577197,11290000000,1.0246235606731622,0.745591286307054
Target,2023,109120000000,3848000000,2780000000,2229000000,17846000000,19500000000,53335000000,14141000000.0,11232000000,4018000000,5528000000,478000000.0,2385000000,106005000000,0.029385406348757134,0.03526392961876833,-1510000000,0.9151794871794872,1.2589921652421652,8.05020920502092,6233000000,2.268730948179047,0.2841383211936921
Target,2024,107412000000,5707000000,4138000000,3805000000,17498000000,19304000000,55356000000,14151000000.0,13432000000,8621000000,4806000000,502000000.0,2415000000,109120000000,-0.0156524926686217,0.05313186608572599,3815000000,0.9064442602569416,1.0535288862418106,11.368525896414342,8122000000,1.7423048510219157,0.6092148964737475
