company,fiscal_year,section,word_count,uncertainty_mentions,negative_mentions,positive_mentions,uncertainty_per_10k_words,negative_per_10k_words,positive_per_10k_words,uncertainty_per_10k_words_change,negative_per_10k_words_change,positive_per_10k_words_change,latest_year
Costco,2025,MD&A,27624,115,79,120,41.630466261222125,28.598320301187375,43.440486533449175,1.274764679135778,-1.400608308505138,-5.129207406052991,2025
Costco,2025,Risk Factors,10360,83,33,43,80.11583011583012,31.853281853281853,41.50579150579151,-0.601658673407556,-0.03510877950339619,-1.3442334070136752,2025
Home Depot,2026,MD&A,43761,185,89,178,42.27508512145518,20.337743653024383,40.675487306048765,-0.7671893719256175,-1.067063122062283,-0.5054996416723228,2026
Home Depot,2026,Risk Factors,19526,141,34,108,72.21141042712281,17.412680528526067,55.31086756120045,-4.925936905210591,1.3423998342899424,-0.3994388454847808,2026
Lowe's,2026,MD&A,37103,157,78,185,42.31463763038029,21.022558822736706,49.86119720777295,-1.6543320394323544,-7.26321147440391,3.091656221411739,2026
Lowe's,2026,Risk Factors,14374,116,30,110,80.70126617503826,20.871017114234032,76.52706275219145,2.1834619185467687,0.20843704673627172,-1.3019888353834546,2026
Target,2026,MD&A,29270,150,83,145,51.247010591048856,28.3566791937137,49.53877690468056,2.6408633430145443,0.12222601287023593,-4.428342466298716,2026
Target,2026,Risk Factors,12072,106,22,57,87.80649436713054,18.223989396951623,47.21669980119284,-0.35128078510066985,0.04712854082147544,-0.043138424745542636,2026
Walmart,2026,MD&A,48068,188,166,282,39.111259049679624,34.53440958641924,58.666888574519426,-0.1397672845548783,-1.3121909943357437,4.796857534166968,2026
Walmart,2026,Risk Factors,21703,141,54,95,64.96797677740405,24.88135280836751,43.77275031101691,0.9665740069323618,0.3328695539400144,-1.378924246233666,2026
