company,cik,filingDate,reportDate,accessionNumber,primaryDocument,filing_url,fiscal_year
Walmart,0000104169,2026-03-13,2026-01-31,0000104169-26-000055,wmt-20260131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416926000055/wmt-20260131.htm,2026
Walmart,0000104169,2025-03-14,2025-01-31,0000104169-25-000021,wmt-20250131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,2025
Walmart,0000104169,2024-03-15,2024-01-31,0000104169-24-000056,wmt-20240131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,2024
Walmart,0000104169,2023-03-17,2023-01-31,0000104169-23-000020,wmt-20230131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,2023
Walmart,0000104169,2022-03-18,2022-01-31,0000104169-22-000012,wmt-20220131.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,2022
Target,0000027419,2026-03-11,2026-01-31,0000027419-26-000016,tgt-20260131.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741926000016/tgt-20260131.htm,2026
Target,0000027419,2025-03-12,2025-02-01,0000027419-25-000018,tgt-20250201.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741925000018/tgt-20250201.htm,2025
Target,0000027419,2024-03-13,2024-02-03,0000027419-24-000032,tgt-20240203.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741924000032/tgt-20240203.htm,2024
Target,0000027419,2023-03-08,2023-01-28,0000027419-23-000015,tgt-20230128.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741923000015/tgt-20230128.htm,2023
Target,0000027419,2022-03-09,2022-01-29,0000027419-22-000007,tgt-20220129.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/tgt-20220129.htm,2022
Costco,0000909832,2025-10-08,2025-08-31,0000909832-25-000101,cost-20250831.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/cost-20250831.htm,2025
Costco,0000909832,2024-10-09,2024-09-01,0000909832-24-000049,cost-20240901.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,2024
Costco,0000909832,2023-10-11,2023-09-03,0000909832-23-000042,cost-20230903.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983223000042/cost-20230903.htm,2023
Costco,0000909832,2022-10-05,2022-08-28,0000909832-22-000021,cost-20220828.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983222000021/cost-20220828.htm,2022
Costco,0000909832,2021-10-06,2021-08-29,0000909832-21-000014,cost-20210829.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/cost-20210829.htm,2021
Home Depot,0000354950,2026-03-18,2026-02-01,0001628280-26-019436,hd-20260201.htm,https://www.sec.gov/Archives/edgar/data/354950/000162828026019436/hd-20260201.htm,2026
Home Depot,0000354950,2025-03-21,2025-02-02,0000354950-25-000085,hd-20250202.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm,2025
Home Depot,0000354950,2024-03-13,2024-01-28,0000354950-24-000062,hd-20240128.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/hd-20240128.htm,2024
Home Depot,0000354950,2023-03-15,2023-01-29,0000354950-23-000059,hd-20230129.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm,2023
Home Depot,0000354950,2022-03-23,2022-01-30,0000354950-22-000070,hd-20220130.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/hd-20220130.htm,2022
Lowes,0000060667,2026-03-23,2026-01-30,0000060667-26-000029,low-20260130.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066726000029/low-20260130.htm,2026
Lowes,0000060667,2025-03-24,2025-01-31,0000060667-25-000049,low-20250131.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066725000049/low-20250131.htm,2025
Lowes,0000060667,2024-03-25,2024-02-02,0000060667-24-000033,low-20240202.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066724000033/low-20240202.htm,2024
Lowes,0000060667,2023-03-27,2023-02-03,0000060667-23-000034,low-20230203.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066723000034/low-20230203.htm,2023
Lowes,0000060667,2022-03-21,2022-01-28,0000060667-22-000038,low-20220128.htm,https://www.sec.gov/Archives/edgar/data/60667/000006066722000038/low-20220128.htm,2022
