company,fiscal_year,revenue,operating_income,net_income,cash,current_assets,current_liabilities,total_assets,total_debt,equity,operating_cash_flow,capex,interest_expense,depreciation_amortization
Costco,2021,195929000000,6708000000,5007000000,11258000000,29505000000,29441000000,59268000000,7531000000.0,17564000000,8958000000,3588000000,171000000.0,1781000000
Costco,2022,226954000000,7793000000,5844000000,10203000000,32696000000,31998000000,64166000000,6590000000.0,20642000000,7392000000,3891000000,158000000.0,1900000000
Costco,2023,242290000000,8114000000,6292000000,13700000000,35879000000,33583000000,68994000000,6484000000.0,25058000000,11068000000,4323000000,160000000.0,2077000000
Costco,2024,254453000000,9285000000,7367000000,9906000000,34246000000,35464000000,69831000000,5919000000.0,23622000000,11339000000,4710000000,169000000.0,2237000000
Costco,2025,275235000000,10383000000,8099000000,14161000000,38380000000,37108000000,77099000000,5805000000.0,29164000000,13335000000,5498000000,154000000.0,2426000000
Home Depot,2022,151157000000,23040000000,16433000000,2343000000,29055000000,28693000000,71876000000,36400000000.0,-1696000000,16571000000,2566000000,1347000000.0,2386000000
Home Depot,2023,157403000000,24039000000,17105000000,2757000000,32471000000,23110000000,76445000000,41150000000.0,1562000000,14615000000,3119000000,1617000000.0,2455000000
Home Depot,2024,152669000000,21689000000,15143000000,3760000000,29775000000,22015000000,76530000000,42150000000.0,1044000000,21172000000,3226000000,1943000000.0,2673000000
Home Depot,2025,159514000000,21526000000,14806000000,1659000000,31683000000,28661000000,96119000000,51365000000.0,6640000000,19810000000,3485000000,2321000000.0,3034000000
Home Depot,2026,164683000000,20890000000,14156000000,1389000000,34391000000,32424000000,105095000000,49397000000.0,12813000000,16325000000,3679000000,2412000000.0,3273000000
Lowes,2022,96250000000,12093000000,8442000000,1133000000,20060000000,19668000000,44640000000,24285000000.0,-4816000000,10113000000,1853000000,827000000.0,1662000000
Lowes,2023,97059000000,10159000000,6437000000,1348000000,21442000000,19511000000,43708000000,33270000000.0,-14254000000,8589000000,1829000000,1108000000.0,1766000000
Lowes,2024,86377000000,11557000000,7726000000,921000000,19071000000,15568000000,41795000000,35770000000.0,-15050000000,8140000000,1964000000,1438000000.0,1717000000
Lowes,2025,83674000000,10466000000,6957000000,1761000000,20358000000,18757000000,43102000000,35319000000.0,-14231000000,9625000000,1927000000,1452000000.0,1729000000
Lowes,2026,86286000000,10153000000,6654000000,982000000,20955000000,19463000000,54144000000,39819000000.0,-9917000000,9864000000,2213000000,1487000000.0,1941000000
Target,2022,106005000000,8946000000,6946000000,5911000000,21573000000,21747000000,53811000000,11568000000.0,12827000000,8625000000,3544000000,421000000.0,2344000000
Target,2023,109120000000,3848000000,2780000000,2229000000,17846000000,19500000000,53335000000,14141000000.0,11232000000,4018000000,5528000000,478000000.0,2385000000
Target,2024,107412000000,5707000000,4138000000,3805000000,17498000000,19304000000,55356000000,14151000000.0,13432000000,8621000000,4806000000,502000000.0,2415000000
Target,2025,106566000000,5566000000,4091000000,4762000000,19454000000,20799000000,57769000000,13904000000.0,14666000000,7367000000,2891000000,411000000.0,2529000000
Target,2026,104780000000,5117000000,3705000000,5488000000,20005000000,21230000000,59490000000,14398000000.0,16165000000,6562000000,3727000000,445000000.0,2617000000
Walmart,2022,567762000000,25942000000,13673000000,14760000000,81070000000,87379000000,244860000000,37667000000.0,83253000000,24181000000,13106000000,1674000000.0,10658000000
Walmart,2023,605881000000,20428000000,11680000000,8625000000,75655000000,92198000000,243197000000,38840000000.0,76693000000,28841000000,16857000000,1787000000.0,10945000000
Walmart,2024,642637000000,27012000000,15511000000,9867000000,76877000000,92415000000,252399000000,39579000000.0,83861000000,35726000000,20606000000,2259000000.0,11853000000
Walmart,2025,674538000000,29348000000,19436000000,9037000000,79458000000,96584000000,260823000000,35999000000.0,91013000000,36443000000,23783000000,2249000000.0,12973000000
Walmart,2026,706413000000,29825000000,21893000000,10727000000,84874000000,107469000000,284668000000,38166000000.0,99617000000,41565000000,26642000000,2318000000.0,14203000000
