company,fiscal_year,section,topic,mentions,word_count,mentions_per_10k_words,topic_rate_change,latest_year
Costco,2025,MD&A,Capital Investment,7,27624,2.5340283811178685,0.3912477661398319,2025
Costco,2025,MD&A,Competition,32,27624,11.584129742253113,0.1559664623702517,2025
Costco,2025,MD&A,Consumer Demand,1,27624,0.3620040544454098,0.004873951949070365,2025
Costco,2025,MD&A,Cybersecurity,31,27624,11.222125687807704,0.5082226129175229,2025
Costco,2025,MD&A,Debt & Interest Rates,65,27624,23.530263538951633,1.0310670816822487,2025
Costco,2025,MD&A,Economic Uncertainty,9,27624,3.2580364900086884,0.043865567541633954,2025
Costco,2025,MD&A,Inflation & Costs,7,27624,2.5340283811178685,-0.3230124388528468,2025
Costco,2025,MD&A,Inventory,38,27624,13.756154068925571,0.18521017406467344,2025
Costco,2025,MD&A,Labor,58,27624,20.996235157833766,-7.931303144369725,2025
Costco,2025,MD&A,Regulation,38,27624,13.756154068925571,0.8994703790573535,2025
Costco,2025,MD&A,Supply Chain,42,27624,15.204170286707212,1.6332263918463141,2025
Costco,2025,Risk Factors,Capital Investment,2,10360,1.9305019305019304,0.9339897232273914,2025
Costco,2025,Risk Factors,Competition,25,10360,24.131274131274132,-0.7815310505893471,2025
Costco,2025,Risk Factors,Consumer Demand,1,10360,0.9652509652509652,-0.03126124202357383,2025
Costco,2025,Risk Factors,Cybersecurity,32,10360,30.888030888030887,-0.003847537479824581,2025
Costco,2025,Risk Factors,Debt & Interest Rates,3,10360,2.8957528957528957,-0.09378372607072194,2025
Costco,2025,Risk Factors,Economic Uncertainty,9,10360,8.687258687258687,-0.28135117821216404,2025
Costco,2025,Risk Factors,Inflation & Costs,2,10360,1.9305019305019304,-0.06252248404714766,2025
Costco,2025,Risk Factors,Inventory,12,10360,11.583011583011583,-0.37513490428288776,2025
Costco,2025,Risk Factors,Labor,19,10360,18.33976833976834,1.3990608161011764,2025
Costco,2025,Risk Factors,Regulation,33,10360,31.853281853281853,0.9614034277711418,2025
Costco,2025,Risk Factors,Supply Chain,32,10360,30.888030888030887,1.989176877069255,2025
Home Depot,2026,MD&A,Capital Investment,8,43761,1.8281117890358995,-0.03317575662381067,2026
Home Depot,2026,MD&A,Competition,53,43761,12.111240602362834,-0.21978938763274591,2026
Home Depot,2026,MD&A,Consumer Demand,5,43761,1.1425698681474372,-0.020734847889881447,2026
Home Depot,2026,MD&A,Cybersecurity,62,43761,14.167866365028221,0.4408707157878595,2026
Home Depot,2026,MD&A,Debt & Interest Rates,120,43761,27.42167683553849,-3.056906724639262,2026
Home Depot,2026,MD&A,Economic Uncertainty,21,43761,4.7987934462192365,-0.5524082475524299,2026
Home Depot,2026,MD&A,Inflation & Costs,9,43761,2.056625762665387,-1.433288385446569,2026
Home Depot,2026,MD&A,Inventory,120,43761,27.42167683553849,-1.1956191789795483,2026
Home Depot,2026,MD&A,Labor,63,43761,14.396380338657709,-1.4245637994498264,2026
Home Depot,2026,MD&A,Regulation,72,43761,16.453006101323098,0.6320619632155626,2026
Home Depot,2026,MD&A,Supply Chain,165,43761,37.70480564886543,-0.45158903715862664,2026
Home Depot,2026,Risk Factors,Capital Investment,2,19526,1.0242753252074157,-0.04707672107499272,2026
Home Depot,2026,Risk Factors,Competition,52,19526,26.63115845539281,-1.2239947479498063,2026
Home Depot,2026,Risk Factors,Consumer Demand,5,19526,2.5606883130185394,-0.11769180268748203,2026
Home Depot,2026,Risk Factors,Cybersecurity,62,19526,31.75253508142989,0.1476497160988437,2026
Home Depot,2026,Risk Factors,Debt & Interest Rates,3,19526,1.5364129878111237,-1.1419671278948977,2026
Home Depot,2026,Risk Factors,Economic Uncertainty,19,19526,9.73061558947045,-1.5185808964948375,2026
Home Depot,2026,Risk Factors,Inflation & Costs,7,19526,3.584963638225955,-2.843148639468496,2026
Home Depot,2026,Risk Factors,Inventory,23,19526,11.779166239885281,-0.5413822923624156,2026
