company,fiscal_year,section,word_count,uncertainty_mentions,negative_mentions,positive_mentions,uncertainty_per_10k_words,negative_per_10k_words,positive_per_10k_words,uncertainty_per_10k_words_change,negative_per_10k_words_change,positive_per_10k_words_change
Costco,2021,MD&A,28239,111,92,138,39.30734091150537,32.5790573320585,48.868585998087745,,,
Costco,2022,MD&A,27132,101,92,128,37.22541648238243,33.90830016217013,47.17676544301931,-2.0819244291229424,1.3292428301116317,-1.691820555068432
Costco,2023,MD&A,26775,95,84,127,35.48085901027078,31.372549019607842,47.43230625583567,-1.7445574721116515,-2.5357511425622867,0.2555408128163563
Costco,2024,MD&A,28001,113,84,136,40.35570158208635,29.998928609692513,48.569693939502166,4.87484257181557,-1.373620409915329,1.1373876836664962
Costco,2025,MD&A,27624,115,79,120,41.630466261222125,28.598320301187375,43.440486533449175,1.274764679135778,-1.400608308505138,-5.129207406052991
Costco,2021,Risk Factors,9389,76,33,43,80.94578762381511,35.147513047182876,45.79827457663223,,,
Costco,2022,Risk Factors,9265,69,32,45,74.4738262277388,34.53858607663249,48.56988667026443,-6.47196139607631,-0.6089269705503852,2.7716120936322
Costco,2023,Risk Factors,9085,63,31,42,69.3450742982939,34.1221794166208,46.23004953219593,-5.128751929444903,-0.41640666001168825,-2.3398371380685035
Costco,2024,Risk Factors,10035,81,32,43,80.71748878923768,31.88839063278525,42.85002491280518,11.372414490943783,-2.2337887838355535,-3.3800246193907455
Costco,2025,Risk Factors,10360,83,33,43,80.11583011583012,31.853281853281853,41.50579150579151,-0.601658673407556,-0.03510877950339619,-1.3442334070136752
Home Depot,2022,MD&A,37353,172,88,173,46.04717157925735,23.55901801729446,46.31488769309025,,,
Home Depot,2023,MD&A,37349,164,86,163,43.91014484992905,23.02605156764572,43.642400064258744,-2.137026729328305,-0.5329664496487396,-2.6724876288315045
Home Depot,2024,MD&A,39057,164,96,159,41.98991217963489,24.579460788078965,40.70973193025578,-1.9202326702941548,1.5534092204332453,-2.9326681340029666
Home Depot,2025,MD&A,42981,185,92,177,43.042274493380795,21.404806775086666,41.18098694772109,1.0523623137459026,-3.174654012992299,0.4712550174653103
Home Depot,2026,MD&A,43761,185,89,178,42.27508512145518,20.337743653024383,40.675487306048765,-0.7671893719256175,-1.067063122062283,-0.5054996416723228
Home Depot,2022,Risk Factors,17228,137,26,104,79.52170884606454,15.091711167866265,60.36684467146506,,,
Home Depot,2023,Risk Factors,17834,133,27,105,74.57665134013682,15.13962094874958,58.876303689581704,-4.945057505927721,0.04790978088331421,-1.4905409818833562
Home Depot,2024,Risk Factors,19077,135,29,107,70.76584368611417,15.201551606646747,56.08848351417938,-3.8108076540226534,0.06193065789716812,-2.7878201754023237
Home Depot,2025,Risk Factors,18668,144,30,104,77.1373473323334,16.070280694236125,55.710306406685234,6.371503646219239,0.8687290875893776,-0.378177107494146
Home Depot,2026,Risk Factors,19526,141,34,108,72.21141042712281,17.412680528526067,55.31086756120045,-4.925936905210591,1.3423998342899424,-0.3994388454847808
Lowes,2022,MD&A,35536,127,111,192,35.73840612336785,31.235929761368755,54.02971634398919,,,
Lowes,2023,MD&A,37129,121,130,177,32.58908131110453,35.01306256564949,47.67163133938431,-3.1493248122633233,3.777132804280736,-6.358085004604881
Lowes,2024,MD&A,36773,151,117,158,41.06273624670274,31.816822124928617,42.966306801185645,8.473654935598212,-3.1962404407208744,-4.705324538198667
Lowes,2025,MD&A,35707,157,101,167,43.968969669812644,28.285770297140616,46.769540986361214,2.906233423109903,-3.5310518277880014,3.803234185175569
Lowes,2026,MD&A,37103,157,78,185,42.31463763038029,21.022558822736706,49.86119720777295,-1.6543320394323544,-7.26321147440391,3.091656221411739
Lowes,2022,Risk Factors,12390,83,22,102,66.98950766747377,17.756255044390638,82.32445520581115,,,
Lowes,2023,Risk Factors,12860,78,25,104,60.653188180404356,19.44012441679627,80.87091757387248,-6.336319487069417,1.6838693724056313,-1.4535376319386728
Lowes,2024,Risk Factors,13760,105,29,107,76.30813953488372,21.075581395348838,77.76162790697674,15.654951354479365,1.6354569785525683,-3.1092896668957337
