company,fiscal_year,section,topic,mentions,word_count,mentions_per_10k_words,topic_rate_change
Costco,2021,MD&A,Capital Investment,4,28239,1.416480753567761,
Costco,2022,MD&A,Capital Investment,6,27132,2.2114108801415306,0.7949301265737696
Costco,2023,MD&A,Capital Investment,6,26775,2.2408963585434174,0.029485478401886756
Costco,2024,MD&A,Capital Investment,6,28001,2.1427806149780366,-0.09811574356538078
Costco,2025,MD&A,Capital Investment,7,27624,2.5340283811178685,0.3912477661398319
Costco,2021,MD&A,Competition,30,28239,10.623605651758206,
Costco,2022,MD&A,Competition,31,27132,11.42562288073124,0.8020172289730336
Costco,2023,MD&A,Competition,32,26775,11.951447245564893,0.5258243648336531
Costco,2024,MD&A,Competition,32,28001,11.428163279882861,-0.5232839656820314
Costco,2025,MD&A,Competition,32,27624,11.584129742253113,0.1559664623702517
Costco,2021,MD&A,Consumer Demand,2,28239,0.7082403767838805,
Costco,2022,MD&A,Consumer Demand,2,27132,0.7371369600471768,0.02889658326329625
Costco,2023,MD&A,Consumer Demand,1,26775,0.3734827264239029,-0.36365423362327387
Costco,2024,MD&A,Consumer Demand,1,28001,0.3571301024963394,-0.01635262392756348
Costco,2025,MD&A,Consumer Demand,1,27624,0.3620040544454098,0.004873951949070365
Costco,2021,MD&A,Cybersecurity,7,28239,2.4788413187435814,
Costco,2022,MD&A,Cybersecurity,7,27132,2.5799793601651184,0.10113804142153704
Costco,2023,MD&A,Cybersecurity,6,26775,2.2408963585434174,-0.339083001621701
Costco,2024,MD&A,Cybersecurity,30,28001,10.713903074890181,8.473006716346763
Costco,2025,MD&A,Cybersecurity,31,27624,11.222125687807704,0.5082226129175229
Costco,2021,MD&A,Debt & Interest Rates,56,28239,19.83073054994865,
Costco,2022,MD&A,Debt & Interest Rates,55,27132,20.271266401297364,0.440535851348713
Costco,2023,MD&A,Debt & Interest Rates,57,26775,21.288515406162464,1.0172490048651
Costco,2024,MD&A,Debt & Interest Rates,63,28001,22.499196457269385,1.2106810511069206
Costco,2025,MD&A,Debt & Interest Rates,65,27624,23.530263538951633,1.0310670816822487
Costco,2021,MD&A,Economic Uncertainty,8,28239,2.832961507135522,
Costco,2022,MD&A,Economic Uncertainty,8,27132,2.948547840188707,0.115586333053185
Costco,2023,MD&A,Economic Uncertainty,8,26775,2.987861811391223,0.03931397120251612
Costco,2024,MD&A,Economic Uncertainty,9,28001,3.2141709224670545,0.2263091110758313
Costco,2025,MD&A,Economic Uncertainty,9,27624,3.2580364900086884,0.043865567541633954
Costco,2021,MD&A,Inflation & Costs,13,28239,4.6035624490952225,
Costco,2022,MD&A,Inflation & Costs,16,27132,5.897095680377414,1.2935332312821917
Costco,2023,MD&A,Inflation & Costs,9,26775,3.361344537815126,-2.535751142562288
Costco,2024,MD&A,Inflation & Costs,8,28001,2.8570408199707154,-0.5043037178444107
Costco,2025,MD&A,Inflation & Costs,7,27624,2.5340283811178685,-0.3230124388528468
Costco,2021,MD&A,Inventory,42,28239,14.87304791246149,
Costco,2022,MD&A,Inventory,38,27132,14.005602240896359,-0.8674456715651306
Costco,2023,MD&A,Inventory,38,26775,14.192343604108311,0.18674136321195256
Costco,2024,MD&A,Inventory,38,28001,13.570943894860898,-0.6213997092474131
Costco,2025,MD&A,Inventory,38,27624,13.756154068925571,0.18521017406467344
Costco,2021,MD&A,Labor,100,28239,35.412018839194026,
Costco,2022,MD&A,Labor,106,27132,39.068258882500366,3.6562400433063402
Costco,2023,MD&A,Labor,96,26775,35.85434173669468,-3.213917145805688
